Genre,Amount of songs in top 50,Locale
pop,14,Australia
rap,9,Australia
hip hop,5,Australia
dance pop,5,Australia
r&b,4,Australia
singer-songwriter pop,3,Australia
pov: indie,3,Australia
pop rap,3,Australia
atl hip hop,3,Australia
trap,2,Australia
plugg,2,Australia
kentucky hip hop,2,Australia
contemporary country,2,Australia
uk pop,2,Australia
house,2,Australia
canadian pop,2,Australia
chicago rap,1,Australia
southern hip hop,1,Australia
trap soul,1,Australia
melodic rap,1,Australia
pluggnb,1,Australia
rage rap,1,Australia
alt z,1,Australia
indie pop,1,Australia
psychedelic pop,1,Australia
deep underground hip hop,1,Australia
classic oklahoma country,1,Australia
classic texas country,1,Australia
country dawn,1,Australia
hypertechno,1,Australia
uk contemporary r&b,1,Australia
melodic drill,1,Australia
uk hip hop,1,Australia
edm,1,Australia
stutter house,1,Australia
post-teen pop,1,Australia
australian house,1,Australia
deep groove house,1,Australia
canadian contemporary r&b,1,Australia
k-pop,1,Australia
british singer-songwriter,1,Australia
folk-pop,1,Australia
modern rock,1,Australia
canadian hip hop,1,Australia
trap queen,1,Australia
gen z singer-songwriter,1,Australia
viral rap,1,Australia
indie folk,1,Australia
stomp and holler,1,Australia
europop,1,Australia
new wave pop,1,Australia
brooklyn indie,1,Australia
experimental r&b,1,Australia
trap brasileiro,15,Brazil
funk carioca,15,Brazil
sertanejo universitario,15,Brazil
arrocha,14,Brazil
sertanejo,13,Brazil
funk paulista,12,Brazil
funk mtg,11,Brazil
funk consciente,9,Brazil
agronejo,9,Brazil
pop nacional,8,Brazil
funk rj,5,Brazil
sertanejo pop,4,Brazil
pagode baiano,4,Brazil
pagode,4,Brazil
funk bh,4,Brazil
trap funk,3,Brazil
funk pop,3,Brazil
axe,3,Brazil
forro,3,Brazil
funk ostentacao,2,Brazil
trap carioca,2,Brazil
brazilian hip hop,2,Brazil
pagode novo,2,Brazil
funk viral,2,Brazil
funk das antigas,2,Brazil
detroit trap brasileiro,1,Brazil
rave funk,1,Brazil
batidao romantico,1,Brazil
rap df,1,Brazil
electro house,1,Brazil
slap house,1,Brazil
pop rap brasileiro,1,Brazil
brega paraense,1,Brazil
musica tocantinense,1,Brazil
brazilian gospel,1,Brazil
funk 150 bpm,1,Brazil
dance pop,1,Brazil
pop lgbtq+ brasileira,1,Brazil
deboxe,1,Brazil
funk mandelao,1,Brazil
mpb,1,Brazil
samba reggae,1,Brazil
singer-songwriter pop,1,Brazil
pop,1,Brazil
pop,14,Canada
rap,12,Canada
hip hop,6,Canada
pop rap,4,Canada
r&b,4,Canada
atl hip hop,4,Canada
dance pop,4,Canada
trap,3,Canada
melodic rap,3,Canada
pluggnb,3,Canada
rage rap,3,Canada
singer-songwriter pop,3,Canada
pov: indie,3,Canada
contemporary country,3,Canada
plugg,2,Canada
kentucky hip hop,2,Canada
canadian pop,2,Canada
trap queen,2,Canada
chicago rap,1,Canada
southern hip hop,1,Canada
trap soul,1,Canada
alt z,1,Canada
indie pop,1,Canada
psychedelic pop,1,Canada
classic oklahoma country,1,Canada
classic texas country,1,Canada
country dawn,1,Canada
deep underground hip hop,1,Canada
slap house,1,Canada
brooklyn indie,1,Canada
viral rap,1,Canada
canadian contemporary r&b,1,Canada
k-pop,1,Canada
uk pop,1,Canada
country,1,Canada
canadian hip hop,1,Canada
modern folk rock,1,Canada
underground hip hop,1,Canada
post-teen pop,1,Canada
art pop,1,Canada
gen z singer-songwriter,1,Canada
urbano latino,35,Spain
trap latino,32,Spain
reggaeton,19,Spain
urbano espanol,8,Spain
flamenco urbano,8,Spain
trap argentino,7,Spain
reggaeton flow,6,Spain
reggaeton colombiano,6,Spain
latin pop,5,Spain
colombian pop,3,Spain
argentine hip hop,3,Spain
pop argentino,3,Spain
drill espanol,2,Spain
pop reggaeton,2,Spain
rap canario,2,Spain
latin viral pop,2,Spain
spanish pop,2,Spain
brostep,2,Spain
edm,2,Spain
trap boricua,2,Spain
puerto rican pop,2,Spain
pop flamenco,2,Spain
sad sierreno,2,Spain
corrido,2,Spain
latin hip hop,1,Spain
reggaeton chileno,1,Spain
mambo chileno,1,Spain
urbano chileno,1,Spain
boom bap espanol,1,Spain
spanish hip hop,1,Spain
rap uruguayo,1,Spain
r&b argentino,1,Spain
bases de freestyle,1,Spain
pop venezolano,1,Spain
french hip hop,1,Spain
pop urbaine,1,Spain
r&b francais,1,Spain
rap algerien,1,Spain
big room,1,Spain
dutch edm,1,Spain
house,1,Spain
pop dance,1,Spain
slap house,1,Spain
trance,1,Spain
trap triste,1,Spain
corridos tumbados,1,Spain
norteno,1,Spain
dance pop,1,Spain
mexican pop,1,Spain
pop,1,Spain
progressive electro house,1,Spain
pop urbaine,24,France
french hip hop,21,France
r&b francais,14,France
pop,8,France
rap francais,7,France
french pop,5,France
rap conscient,4,France
drill francais,3,France
pop dance,3,France
maimouna,3,France
rap marseille,2,France
belgian hip hop,2,France
rap belge,2,France
alt z,2,France
dance pop,2,France
edm,2,France
rap ivoire,2,France
singer-songwriter pop,1,France
cloud rap francais,1,France
uk pop,1,France
rap algerien,1,France
basshall,1,France
nyc pop,1,France
trap antillais,1,France
r&b,1,France
old school rap francais,1,France
nouvelle chanson francaise,1,France
europop,1,France
tropical house,1,France
australian dance,1,France
australian pop,1,France
big room,1,France
transpop,1,France
hypertechno,1,France
pop,15,United Kingdom
rap,10,United Kingdom
hip hop,6,United Kingdom
dance pop,5,United Kingdom
r&b,4,United Kingdom
uk pop,4,United Kingdom
pop dance,4,United Kingdom
pov: indie,3,United Kingdom
pop rap,3,United Kingdom
atl hip hop,3,United Kingdom
uk dance,3,United Kingdom
singer-songwriter pop,2,United Kingdom
trap,2,United Kingdom
plugg,2,United Kingdom
melodic drill,2,United Kingdom
uk hip hop,2,United Kingdom
kentucky hip hop,2,United Kingdom
uk funky,2,United Kingdom
canadian pop,2,United Kingdom
permanent wave,2,United Kingdom
edm,2,United Kingdom
indie pop,1,United Kingdom
psychedelic pop,1,United Kingdom
chicago rap,1,United Kingdom
southern hip hop,1,United Kingdom
trap soul,1,United Kingdom
melodic rap,1,United Kingdom
pluggnb,1,United Kingdom
rage rap,1,United Kingdom
alt z,1,United Kingdom
hypertechno,1,United Kingdom
uk contemporary r&b,1,United Kingdom
europop,1,United Kingdom
new wave pop,1,United Kingdom
deep underground hip hop,1,United Kingdom
post-teen pop,1,United Kingdom
talent show,1,United Kingdom
viral rap,1,United Kingdom
new jersey rap,1,United Kingdom
brooklyn indie,1,United Kingdom
modern folk rock,1,United Kingdom
canadian hip hop,1,United Kingdom
trap queen,1,United Kingdom
indie folk,1,United Kingdom
stomp and holler,1,United Kingdom
r&drill,1,United Kingdom
alternative rock,1,United Kingdom
dance rock,1,United Kingdom
modern rock,1,United Kingdom
rock,1,United Kingdom
classic oklahoma country,1,United Kingdom
classic texas country,1,United Kingdom
contemporary country,1,United Kingdom
country dawn,1,United Kingdom
tropical house,1,United Kingdom
canadian contemporary r&b,1,United Kingdom
slap house,1,United Kingdom
house,1,United Kingdom
